mode,case,sample,loops,microseconds
B_naive,class_map,10,1,83183
B_guard,class_map,10,1,75827
C,class_map,10,1,93401
C_native,class_map,10,1,100999
A_all,class_map,10,1,81967
A_guard,class_map,10,1,82790
B_naive,block_map,10,1,517962
B_guard,block_map,10,1,313882
C,block_map,10,1,287087
C_native,block_map,10,1,345856
A_all,block_map,10,1,418617
A_guard,block_map,10,1,410556
B_naive,browser,10,1,171909
B_guard,browser,10,1,151194
C,browser,10,1,142553
C_native,browser,10,1,149849
A_all,browser,10,1,151408
A_guard,browser,10,1,143355
B_guard,constant,11,40,17129
C,constant,11,40,66011
C_native,constant,11,40,63043
A_all,constant,11,40,46606
A_guard,constant,11,40,49053
B_naive,constant,11,40,17037
B_guard,getter,11,8,46176
C,getter,11,8,55561
C_native,getter,11,8,54751
A_all,getter,11,8,49896
A_guard,getter,11,8,48783
B_naive,getter,11,8,43838
B_guard,arithmetic,11,8,53828
C,arithmetic,11,8,58084
C_native,arithmetic,11,8,62502
A_all,arithmetic,11,8,62330
A_guard,arithmetic,11,8,60094
B_naive,arithmetic,11,8,50514
B_guard,nested,11,15,55116
C,nested,11,15,69646
C_native,nested,11,15,68533
A_all,nested,11,15,57993
A_guard,nested,11,15,61345
B_naive,nested,11,15,54922
B_guard,class_map,11,1,73888
C,class_map,11,1,86375
C_native,class_map,11,1,83841
A_all,class_map,11,1,74541
A_guard,class_map,11,1,89314
B_naive,class_map,11,1,75838
B_guard,block_map,11,1,316919
C,block_map,11,1,297446
C_native,block_map,11,1,284029
A_all,block_map,11,1,286151
A_guard,block_map,11,1,291345
B_naive,block_map,11,1,424632
B_guard,browser,11,1,156070
C,browser,11,1,144803
C_native,browser,11,1,152311
A_all,browser,11,1,138379
A_guard,browser,11,1,153809
B_naive,browser,11,1,144081
C,constant,12,40,60197
C_native,constant,12,40,60600
A_all,constant,12,40,46564
A_guard,constant,12,40,47226
B_naive,constant,12,40,17056
B_guard,constant,12,40,16989
C,getter,12,8,51729
C_native,getter,12,8,56204
A_all,getter,12,8,50884
A_guard,getter,12,8,49932
B_naive,getter,12,8,52820
B_guard,getter,12,8,52863
C,arithmetic,12,8,58796
C_native,arithmetic,12,8,67615
A_all,arithmetic,12,8,60923
A_guard,arithmetic,12,8,62893
B_naive,arithmetic,12,8,63470
B_guard,arithmetic,12,8,68945
C,nested,12,15,87638
C_native,nested,12,15,89158
A_all,nested,12,15,64272
A_guard,nested,12,15,79271
B_naive,nested,12,15,68020
B_guard,nested,12,15,65043
C,class_map,12,1,115822
C_native,class_map,12,1,127074
A_all,class_map,12,1,84090
A_guard,class_map,12,1,86814
B_naive,class_map,12,1,79336
B_guard,class_map,12,1,72746
C,block_map,12,1,296768
C_native,block_map,12,1,333632
A_all,block_map,12,1,301942
A_guard,block_map,12,1,284030
B_naive,block_map,12,1,415555
B_guard,block_map,12,1,372855
C,browser,12,1,143706
C_native,browser,12,1,139326
A_all,browser,12,1,137073
A_guard,browser,12,1,155217
B_naive,browser,12,1,163518
B_guard,browser,12,1,160585
C_native,constant,13,40,63681
A_all,constant,13,40,46658
A_guard,constant,13,40,50252
B_naive,constant,13,40,17648
B_guard,constant,13,40,17300
C,constant,13,40,67517
C_native,getter,13,8,53742
A_all,getter,13,8,49191
A_guard,getter,13,8,47958
B_naive,getter,13,8,44267
B_guard,getter,13,8,44047
C,getter,13,8,50969
C_native,arithmetic,13,8,56864
A_all,arithmetic,13,8,54611
A_guard,arithmetic,13,8,71096
B_naive,arithmetic,13,8,57750
B_guard,arithmetic,13,8,53730
C,arithmetic,13,8,65816
C_native,nested,13,15,83341
A_all,nested,13,15,54791
A_guard,nested,13,15,62364
B_naive,nested,13,15,55111
B_guard,nested,13,15,51012
C,nested,13,15,79829
C_native,class_map,13,1,89827
A_all,class_map,13,1,79622
A_guard,class_map,13,1,77051
B_naive,class_map,13,1,79599
B_guard,class_map,13,1,71323
C,class_map,13,1,86707
C_native,block_map,13,1,291487
A_all,block_map,13,1,289540
A_guard,block_map,13,1,298207
B_naive,block_map,13,1,411216
B_guard,block_map,13,1,291180
C,block_map,13,1,289827
C_native,browser,13,1,152058
A_all,browser,13,1,155827
A_guard,browser,13,1,146186
B_naive,browser,13,1,141961
B_guard,browser,13,1,140554
C,browser,13,1,137784
A_all,constant,14,40,56046
A_guard,constant,14,40,49080
B_naive,constant,14,40,17112
B_guard,constant,14,40,17023
C,constant,14,40,61243
C_native,constant,14,40,64151
A_all,getter,14,8,50759
A_guard,getter,14,8,49299
B_naive,getter,14,8,45140
B_guard,getter,14,8,44573
C,getter,14,8,51651
C_native,getter,14,8,56173
A_all,arithmetic,14,8,60887
A_guard,arithmetic,14,8,59540
B_naive,arithmetic,14,8,59234
B_guard,arithmetic,14,8,52260
C,arithmetic,14,8,58561
C_native,arithmetic,14,8,84792
A_all,nested,14,15,54719
A_guard,nested,14,15,60678
B_naive,nested,14,15,57685
B_guard,nested,14,15,53029
C,nested,14,15,77241
C_native,nested,14,15,72583
A_all,class_map,14,1,83201
A_guard,class_map,14,1,79389
B_naive,class_map,14,1,88227
B_guard,class_map,14,1,75364
C,class_map,14,1,89728
C_native,class_map,14,1,87088
A_all,block_map,14,1,288885
A_guard,block_map,14,1,284309
B_naive,block_map,14,1,418525
B_guard,block_map,14,1,307091
C,block_map,14,1,321784
C_native,block_map,14,1,291063
A_all,browser,14,1,148867
A_guard,browser,14,1,171883
B_naive,browser,14,1,219586
B_guard,browser,14,1,250445
C,browser,14,1,195225
C_native,browser,14,1,151498
A_guard,constant,15,40,56935
B_naive,constant,15,40,18000
B_guard,constant,15,40,18630
C,constant,15,40,78225
C_native,constant,15,40,86966
A_all,constant,15,40,58268
A_guard,getter,15,8,63469
B_naive,getter,15,8,51683
B_guard,getter,15,8,46845
C,getter,15,8,55082
C_native,getter,15,8,92931
A_all,getter,15,8,79036
A_guard,arithmetic,15,8,79679
B_naive,arithmetic,15,8,64844
B_guard,arithmetic,15,8,75074
C,arithmetic,15,8,80111
C_native,arithmetic,15,8,67008
A_all,arithmetic,15,8,71057
A_guard,nested,15,15,71319
B_naive,nested,15,15,66375
B_guard,nested,15,15,68511
C,nested,15,15,84889
C_native,nested,15,15,85711
A_all,nested,15,15,65279
A_guard,class_map,15,1,86043
B_naive,class_map,15,1,76290
B_guard,class_map,15,1,71823
C,class_map,15,1,87348
C_native,class_map,15,1,105311
A_all,class_map,15,1,89056
A_guard,block_map,15,1,345492
B_naive,block_map,15,1,411532
B_guard,block_map,15,1,318342
C,block_map,15,1,316972
C_native,block_map,15,1,299411
A_all,block_map,15,1,296941
A_guard,browser,15,1,139358
B_naive,browser,15,1,162462
B_guard,browser,15,1,154364
C,browser,15,1,155341
C_native,browser,15,1,155369
A_all,browser,15,1,162024
B_naive,constant,16,40,16856
B_guard,constant,16,40,17171
C,constant,16,40,68111
C_native,constant,16,40,65261
A_all,constant,16,40,48286
A_guard,constant,16,40,49554
B_naive,getter,16,8,46683
B_guard,getter,16,8,44240
C,getter,16,8,51403
C_native,getter,16,8,51898
A_all,getter,16,8,54397
A_guard,getter,16,8,60319
B_naive,arithmetic,16,8,58563
B_guard,arithmetic,16,8,52133
C,arithmetic,16,8,62848
C_native,arithmetic,16,8,61756
A_all,arithmetic,16,8,55384
A_guard,arithmetic,16,8,55527
B_naive,nested,16,15,57215
B_guard,nested,16,15,57671
C,nested,16,15,72901
C_native,nested,16,15,76088
A_all,nested,16,15,54941
A_guard,nested,16,15,66195
B_naive,class_map,16,1,85743
B_guard,class_map,16,1,93087
C,class_map,16,1,106803
C_native,class_map,16,1,123907
A_all,class_map,16,1,136567
A_guard,class_map,16,1,153139
B_naive,block_map,16,1,698670
B_guard,block_map,16,1,440417
C,block_map,16,1,404365
C_native,block_map,16,1,358089
A_all,block_map,16,1,380111
A_guard,block_map,16,1,443131
B_naive,browser,16,1,360160
B_guard,browser,16,1,280642
C,browser,16,1,169565
C_native,browser,16,1,160230
A_all,browser,16,1,146807
A_guard,browser,16,1,137746
B_guard,constant,17,40,16883
C,constant,17,40,61897
C_native,constant,17,40,66994
A_all,constant,17,40,48685
A_guard,constant,17,40,50993
B_naive,constant,17,40,17365
B_guard,getter,17,8,45254
C,getter,17,8,52678
C_native,getter,17,8,55887
A_all,getter,17,8,64311
A_guard,getter,17,8,56766
B_naive,getter,17,8,44917
B_guard,arithmetic,17,8,60187
C,arithmetic,17,8,67869
C_native,arithmetic,17,8,63567
A_all,arithmetic,17,8,57201
A_guard,arithmetic,17,8,59639
B_naive,arithmetic,17,8,66267
B_guard,nested,17,15,56177
